pp,start_date,end_date,duration,finished,response_id,fullfil_criteria,consent,prolific_id,group,hungry,thirsty,desire_instructions_time,simulations_instructions_time,food_type,stimulus_no,food,label_type,measure,rating,time,age,gender,height_choice,height_cm,height_feet,height_inches,weight_choice,weight_kilos,weight_stones,weight_pounds,weight_pounds_only,diet,diet_details,meat_per_week,change_diet,attitude_meat,attitude_vegan,attitude_pb,allergies,allergies_details,language_issues,language_issues_details,didnt_like,study_about,technical_issues,page_time_median,speed_factor,speed_factor_trimmed,rsi,attitude_pb_vegan,attitude_pb_vegan_c,meat_per_week_c,change_diet_s,meat_per_week_s,hungry_s
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,2,pepperoni_pizza,enhanced,attractiveness,66.9,4.713,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,4.9765,1.0559091873541269,1.0559091873541269,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,3,empanadas,enhanced,attractiveness,79.3,7.075,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.414,0.7652296819787985,0.7652296819787985,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,4,steak_pie,enhanced,attractiveness,74.65,7.715,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.2844999999999995,0.6849643551523007,0.6849643551523007,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,7,sausage_rolls,enhanced,attractiveness,69.58,5.988,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.8395,0.9752004008016032,0.9752004008016032,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,8,quiche_lorraine,enhanced,attractiveness,67.61,5.461,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.463,1.000366233290606,1.000366233290606,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,9,lasagne,enhanced,attractiveness,90,9.317,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.6765,0.609262638188258,0.609262638188258,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,13,tiger_prawns,enhanced,attractiveness,87.18,5.74,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.3225,0.9272648083623692,0.9272648083623692,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,17,spanish_omelette,enhanced,attractiveness,58.73,5.209,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,4.84,0.929161067383375,0.929161067383375,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,18,paella,enhanced,attractiveness,62.39,8.478,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.984999999999999,0.7059447983014862,0.7059447983014862,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,20,beef_burrito,enhanced,attractiveness,81.55,4.888,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,4.7265,0.9669599018003273,0.9669599018003273,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
