food_id,food,food_type,supermarket,count,proportion,total,consumption_total,non_consumption_total,situation_independent_total,sensory_total,positive_total,negative_total,contextual_total,consumption_proportion,non_consumption_proportion,situation_independent_proportion,sensory_proportion,positive_proportion,negative_proportion,contextual_proportion
125,vegetable_moussaka,vegetarian,m&s,1,0.06666666666666667,15,2,1,12,1,1,0,0,0.13333333333333333,0.06666666666666667,0.8,0.06666666666666667,0.06666666666666667,0,0
126,creamy_mushrooms,vegetarian,m&s,0,0,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0
127,roasted_aubergine_tomato_mozzarella_bake,vegetarian,m&s,1,0.16666666666666666,6,0,1,5,0,0,0,0,0,0.16666666666666666,0.8333333333333334,0,0,0,0
128,broccoli_cheese_tomato_quiche,vegetarian,m&s,4,0.2222222222222222,18,2,4,12,2,0,0,0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.1111111111111111,0,0,0
129,handcrafted_dinky_cheese_onion_rolls,vegetarian,m&s,1,0.1111111111111111,9,0,1,8,0,0,0,0,0,0.1111111111111111,0.8888888888888888,0,0,0,0
130,roasted_vegetable_lasagne,vegetarian,m&s,1,0.1,10,0,2,8,0,0,0,0,0,0.2,0.8,0,0,0,0
131,tesco_stonebaked_thin_four_cheese_pizza,vegetarian,tesco,1,0.07692307692307693,13,1,1,11,1,0,0,0,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.07692307692307693,0,0,0
132,quorn_crispy_nuggets,vegetarian,tesco,1,0.1111111111111111,9,3,1,5,3,0,0,0,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.3333333333333333,0,0,0
133,tesco_meat_free_6_lincolnshire_style_sausages,vegetarian,tesco,2,0.2222222222222222,9,0,3,6,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0
134,quorn_chicken_and_bacon_lattce_2_pack,vegetarian,tesco,2,0.10526315789473684,19,3,2,14,3,0,0,0,0.15789473684210525,0.10526315789473684,0.7368421052631579,0.15789473684210525,0,0,0
135,tesco_meat_free_2_chicken_style_cheesy_garlic_kievs,vegetarian,tesco,1,0.1,10,0,1,9,0,0,0,0,0,0.1,0.9,0,0,0,0
136,hearty_food_co_4_bean_and_cheese_melts,vegetarian,tesco,2,0.2857142857142857,7,0,2,5,0,0,0,0,0,0.2857142857142857,0.7142857142857143,0,0,0,0
